Generation,MaxFitness,AvgFitness
1,1.569907,0.610199
2,1.569907,0.642132
3,1.569907,0.640589
4,1.575788,0.681737
5,1.575788,0.645527
6,1.596210,0.685121
7,1.596210,0.739581
8,1.693090,0.804736
9,1.693090,0.806661
10,1.795652,0.908752
11,8.175730,1.051166
12,15.949553,1.148075
13,15.949553,1.836703
14,31.912404,4.698515
15,91.777944,13.339231
16,458.771242,39.177591
17,458.804049,97.561060
18,459.816534,154.059619
19,755.157549,231.615002
20,853.437403,269.003135
21,879.108271,336.464805
22,879.108271,333.230276
23,1231.364430,367.736223
24,1399.067695,491.638345
25,1505.063499,479.304061
26,1691.583098,537.394088
27,1748.902838,695.867439
28,1772.837680,864.987688
29,1965.161565,985.919500
30,2010.926707,953.115069
31,2010.926707,988.823334
32,2031.382397,1089.372166
33,2032.650197,1189.542292
34,2032.650197,1148.933898
35,2272.648282,1207.896422
36,2272.648282,1209.070624
37,2272.648282,1318.827574
38,2272.648282,1143.286947
39,2272.648282,1261.263152
40,2272.648282,1288.600025
41,2272.648282,1230.419651
42,2272.648282,1104.068250
43,2347.169710,1190.739237
44,2388.687662,1257.524410
45,2388.687662,1154.363587
46,2410.507429,1263.127323
47,2410.507429,1334.763006
48,2410.507429,1397.795940
49,2420.982650,1180.973685
50,2440.163572,1237.562762
51,2440.163572,1220.946168
52,2446.873912,1336.345625
53,2446.873912,1257.591947
54,2446.873912,1350.878756
55,2446.873912,1079.299708
56,2446.873912,1223.419622
57,2446.873912,1341.015995
58,2465.310509,1418.798418
59,2465.310509,1574.785742
60,2465.310509,1458.741221
61,2465.310509,1576.607813
62,2465.310509,1360.281998
63,2465.310509,1396.611837
64,2470.164906,1453.760032
65,2470.164906,1439.804436
66,2470.164906,1485.976667
67,2470.164906,1489.351280
68,2491.702258,1606.612463
69,2491.702258,1360.221705
70,2494.507697,1563.977606
71,2538.043978,1562.057550
72,2538.043978,1640.902394
73,2581.985325,1670.332525
74,2631.615246,1625.422109
75,2631.615246,1462.669953
76,2980.973924,1291.981937
77,3260.851903,1515.212190
78,3261.295764,1442.293590
79,3266.222887,1651.395468
80,3266.222887,1484.072031
81,3266.222887,1806.910204
82,3294.003580,1715.547144
83,3294.003580,1753.266391
84,3294.003580,1731.145351
85,3294.003580,1861.795172
86,3345.646888,1806.769584
87,3345.646888,1799.732123
88,3345.646888,1686.442281
89,3345.646888,1813.309798
90,3345.646888,1807.549170
91,3345.646888,1888.254581
92,3679.105160,1894.933166
93,3682.966824,1823.409992
94,3705.044294,2029.463732
95,3707.967430,2040.507097
96,3707.967430,2316.928893
97,3707.967430,2004.737746
98,3759.225223,2176.235397
99,3879.122820,2027.381841
100,3879.122820,2232.086263
101,3879.122820,1931.411206
102,3879.122820,2027.924072
103,3879.122820,2018.805268
104,3879.122820,2121.750043
105,3879.122820,2022.937151
106,3879.122820,2280.503285
107,3879.122820,2176.517075
108,3879.122820,2311.806543
109,3958.729649,2162.089403
110,3998.471396,2224.714733
111,3998.471396,2492.440059
112,3998.471396,2313.800267
113,3998.471396,2334.342384
114,4065.365136,2424.515653
115,4074.213638,2239.772678
116,4074.213638,2472.314770
117,4074.213638,2288.701733
118,4074.213638,2762.585380
119,4116.477524,2698.942099
120,4140.178484,2898.569823
121,4140.178484,2821.504203
122,4159.654962,2602.296830
123,4183.404586,2559.396922
124,4183.404586,2721.261207
125,4183.404586,2555.253767
126,4183.404586,2728.836910
127,4183.404586,2560.777553
128,4183.404586,2547.909155
129,4183.404586,2590.222355
130,4195.402211,2719.837021
131,4195.402211,2634.760043
132,4195.402211,2612.827871
133,4195.402211,2547.751710
134,4195.729909,2561.223363
135,4195.729909,2669.980700
136,4242.333250,2348.542608
137,4242.333250,2384.446846
138,4305.715361,2596.339430
139,4356.441823,2247.718252
140,4356.441823,2821.588222
141,4356.441823,2668.656759
142,4424.971070,2764.635013
143,4424.971070,2873.634333
144,4424.971070,2503.007965
145,4439.023061,2587.815760
146,4442.744385,2690.179216
147,4444.145618,2434.692677
148,4444.145618,2345.822860
149,4444.145618,2343.866821
150,4444.145618,2396.485229
151,4444.145618,2476.724083
152,4444.145618,2583.979525
153,4444.145618,2622.441134
154,4446.964744,2575.848225
155,4446.964744,2625.319692
156,4446.964744,2558.098780
157,4446.964744,2569.952858
158,4446.964744,2715.695597
159,4446.964744,2345.727717
160,4452.512754,2543.250935
161,4452.512754,2592.924727
162,4452.512754,2556.320239
163,4455.079090,2746.843490
164,4455.079090,2885.891089
165,4463.435701,2518.716795
166,4463.435701,2764.631684
167,4463.435701,2611.327652
168,4463.435701,2485.616226
169,4463.435701,2924.709092
170,4463.435701,2789.971614
171,4463.435701,2909.332972
172,4463.435701,2567.305075
173,4466.092830,2435.072982
174,4466.092830,2591.110916
175,4466.298813,2754.557187
176,4466.298813,2694.118048
177,4466.298813,2770.592096
178,4466.298813,2834.555998
179,4466.298813,2707.094530
180,4466.298813,2766.766575
181,4466.298813,2599.292012
182,4466.298813,2595.000851
183,4466.298813,2693.622928
184,4466.298813,2718.199156
185,4466.298813,2986.434397
186,4466.298813,2624.668772
187,4466.298813,2849.932382
188,4466.298813,2825.439023
189,4466.298813,2825.839672
190,4466.298813,2651.844038
191,4466.298813,2553.958039
192,4466.298813,2945.493161
193,4466.298813,2579.806697
194,4472.530446,2472.077362
195,4472.530446,2680.121389
196,4472.530446,2697.832127
197,4472.530446,2786.803338
198,4472.530446,2834.016907
199,4472.530446,2557.716570
200,4472.530446,2731.681394
201,4472.530446,2920.381216
