Generation,MaxFitness,AvgFitness
1,4.261875,3.994712
2,4.339540,4.039368
3,4.436588,4.022207
4,4.562831,4.043848
5,4.943516,4.054918
6,4.943516,4.055762
7,5.026272,4.053834
8,5.026272,4.087202
9,5.180894,4.065038
10,5.306487,4.102257
11,5.306487,4.133425
12,5.306487,4.153931
13,5.306487,4.153195
14,5.562828,4.144362
15,5.597771,4.171124
16,5.703026,4.196195
17,5.703026,4.212476
18,5.703026,4.209022
19,6.050597,4.168180
20,6.092396,4.224706
21,6.107167,4.186812
22,6.138783,4.178209
23,6.278836,4.224599
24,6.278836,4.239502
25,6.293374,4.308076
26,6.416034,4.267687
27,6.479884,4.349024
28,6.554610,4.313150
29,6.627460,4.317784
30,6.943957,4.362663
31,6.943957,4.465545
32,7.097380,4.468734
33,7.097380,4.449759
34,7.097380,4.440269
35,7.146534,4.435938
36,7.146534,4.518450
37,7.182605,4.506778
38,7.182605,4.440262
39,7.411099,4.520636
40,7.411099,4.589099
41,7.433233,4.614019
42,7.433233,4.677491
43,7.433233,4.664551
44,7.484764,4.566380
45,7.657938,4.660843
46,7.657938,4.679964
47,7.705323,4.623306
48,7.705323,4.673815
49,7.943356,4.640087
50,7.943356,4.664329
51,7.966856,4.796369
52,7.966856,4.783523
53,8.004567,4.848922
54,8.010542,4.839972
55,8.010542,4.963446
56,8.010542,4.770655
57,8.010542,4.834951
58,8.010542,4.758148
59,8.010542,4.803093
60,8.092380,4.965841
61,8.092380,4.850702
62,8.092380,4.831279
63,8.092380,4.895281
64,8.092380,4.879091
65,8.140767,4.937176
66,8.142261,4.991238
67,8.186755,4.928951
68,8.186755,4.930334
69,8.186755,4.898355
70,8.197015,4.967921
71,8.197015,4.954437
72,8.281976,5.000482
73,8.315318,4.976143
74,8.315318,5.010497
75,8.315318,5.097856
76,8.322358,5.036487
77,8.364871,5.019062
78,8.366996,5.077179
79,8.366996,5.191981
80,8.422488,5.131864
81,8.497313,5.224977
82,8.497313,5.174132
83,8.497313,5.277040
84,8.497313,5.240991
85,8.517279,5.276068
86,8.517279,5.312221
87,8.517279,5.285560
88,8.531738,5.373384
89,8.531738,5.418602
90,8.531738,5.428560
91,8.588083,5.358966
92,8.593850,5.399240
93,8.593850,5.484838
94,8.593850,5.510823
95,8.593850,5.463808
